id	name	feature_type	target	amino_acid_position	polypeptide_position	correction_formula	proforma_formula	monoisotopic_mass	average_mass	cellular_location	keywords	xref_chebi	xref_psi_mod	xref_resid	xref_unimod	taxonomic_ranges
PTM-0450	(2-aminosuccinimidyl)acetic acid (Asn-Gly)	CROSSLNK	Asparagine-Glycine	Amino acid side chain-Amino acid backbone	Anywhere-Protein core	H-3 N-1	H-3 N-1	-17.026549	-17.03	Extracellular and lumenal localisation			MOD:01624	AA0441		Archaea; taxId:2157 (Archaea); Bacteria; taxId:2 (Bacteria); Eukaryota; taxId:2759 (Eukaryota)
PTM-0312	(2-aminosuccinimidyl)acetic acid (Asp-Gly)	CROSSLNK	Aspartate-Glycine	Amino acid side chain-Amino acid backbone	Anywhere-Protein core	H-2 O-1	H-2 O-1	-18.010565	-18.02	Extracellular and lumenal localisation			MOD:00952	AA0441		Archaea; taxId:2157 (Archaea); Bacteria; taxId:2 (Bacteria); Eukaryota; taxId:2759 (Eukaryota)
PTM-0476	(3R)-3-hydroxyarginine	MOD_RES	Arginine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0		Hydroxylation	CHEBI:78294	MOD:01956	AA0601		Bacteria; taxId:2 (Bacteria); Eukaryota; taxId:40674 (Mammalia)
PTM-0369	(3R)-3-hydroxyasparagine	MOD_RES	Asparagine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Intracellular localisation or Extracellular and lumenal localisation	Hydroxylation	CHEBI:141853	MOD:00035	AA0026	35	Eukaryota; taxId:40674 (Mammalia)
PTM-0371	(3R)-3-hydroxyaspartate	MOD_RES	Aspartate	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141848	MOD:00036	AA0027	35	Bacteria; taxId:68215 (Streptomyces griseoverticillatus); Eukaryota; taxId:40674 (Mammalia)
PTM-0477	(3S)-3-hydroxyhistidine	MOD_RES	Histidine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:138021	MOD:01920	AA0580		Eukaryota; taxId:2759 (Eukaryota)
PTM-0368	(3R,4R)-3,4-dihydroxyproline	MOD_RES	Proline	Amino acid side chain	Anywhere	O2	O2	31.989829	32.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141805	MOD:01402	AA0479		Eukaryota; taxId:78357 (Amanita virosa)
PTM-0336	(3R,4R)-4,5-dihydroxyisoleucine	MOD_RES	Isoleucine	Amino acid side chain	Anywhere	O2	O2	31.989829	32.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141826	MOD:01378	AA0449		Eukaryota; taxId:67723 (Amanita phalloides)
PTM-0306	(3R,4S)-3,4-dihydroxyproline	MOD_RES	Proline	Amino acid side chain	Anywhere	O2	O2	31.989829	32.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141803	MOD:00287	AA0282	425	Eukaryota; taxId:6550 (Mytilus edulis)
PTM-0337	(3R,4S)-4-hydroxyisoleucine	MOD_RES	Isoleucine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141844	MOD:01377	AA0448		Eukaryota; taxId:67723 (Amanita phalloides)
PTM-0370	(3S)-3-hydroxyasparagine	MOD_RES	Asparagine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Intracellular localisation or Extracellular and lumenal localisation	Hydroxylation	CHEBI:138107	MOD:01401	AA0478		Eukaryota; taxId:7742 (Vertebrata)
PTM-0473	(3S)-3-hydroxyaspartate	MOD_RES	Aspartate	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:138111	MOD:01919	AA0579		Eukaryota; taxId:33208 (Metazoa)
PTM-0663	(3S)-3-hydroxylysine	MOD_RES	Lysine	Amino acid side chain	Anywhere	O1	O	15.994915	16.0	Extracellular and lumenal localisation	Hydroxylation	CHEBI:141492				Eukaryota; taxId:40674 (Mammalia)
